origin,55,30,25
vertex,359,-0.97,-0.74,-0.12
vertex,360,-0.88,-0.88,0.00
vertex,361,-0.86,-0.86,0.12
vertex,362,-0.80,-0.80,0.22
vertex,363,-0.71,-0.71,0.25
vertex,364,-0.62,-0.62,0.22
vertex,365,-0.55,-0.55,0.12
vertex,366,-0.53,-0.53,0.00
vertex,367,-0.55,-0.55,-0.12
vertex,368,-0.62,-0.62,-0.22
vertex,369,-0.71,-0.71,-0.25
vertex,370,-0.80,-0.80,-0.22
vertex,371,-0.86,-0.86,-0.12
vertex,372,-0.76,-0.99,0.00
vertex,373,-0.74,-0.97,0.12
vertex,374,-0.68,-0.89,0.22
vertex,375,-0.61,-0.79,0.25
vertex,376,-0.53,-0.69,0.22
vertex,377,-0.48,-0.62,0.12
vertex,378,-0.46,-0.60,0.00
vertex,379,-0.48,-0.62,-0.12
vertex,380,-0.53,-0.69,-0.22
vertex,381,-0.61,-0.79,-0.25
vertex,382,-0.68,-0.89,-0.22
vertex,383,-0.74,-0.97,-0.12
vertex,384,-0.62,-1.08,0.00
vertex,385,-0.61,-1.05,0.12
vertex,386,-0.56,-0.97,0.22
vertex,387,-0.50,-0.87,0.25
vertex,388,-0.44,-0.76,0.22
vertex,389,-0.39,-0.68,0.12
vertex,390,-0.37,-0.65,0.00
vertex,391,-0.39,-0.68,-0.12
vertex,392,-0.44,-0.76,-0.22
vertex,393,-0.50,-0.87,-0.25
vertex,394,-0.56,-0.97,-0.22
vertex,395,-0.61,-1.05,-0.12
vertex,396,-0.48,-1.15,0.00
vertex,397,-0.47,-1.12,0.12
vertex,398,-0.43,-1.04,0.22
vertex,399,-0.38,-0.92,0.25
vertex,400,-0.33,-0.81,0.22
vertex,401,-0.30,-0.72,0.12
vertex,402,-0.29,-0.69,0.00
vertex,403,-0.30,-0.72,-0.12
vertex,404,-0.33,-0.81,-0.22
vertex,405,-0.38,-0.92,-0.25
vertex,406,-0.43,-1.04,-0.22
vertex,407,-0.47,-1.12,-0.12
vertex,408,-0.32,-1.21,0.00
vertex,409,-0.31,-1.18,0.12
vertex,410,-0.29,-1.09,0.22
vertex,411,-0.26,-0.97,0.25
vertex,412,-0.23,-0.85,0.22
vertex,413,-0.20,-0.76,0.12
vertex,414,-0.19,-0.72,0.00
vertex,415,-0.20,-0.76,-0.12
vertex,416,-0.23,-0.85,-0.22
vertex,417,-0.26,-0.97,-0.25
vertex,418,-0.29,-1.09,-0.22
vertex,419,-0.31,-1.18,-0.12
vertex,420,-0.16,-1.24,0.00
vertex,421,-0.16,-1.21,0.12
vertex,422,-0.15,-1.12,0.22
vertex,423,-0.13,-0.99,0.25
vertex,424,-0.11,-0.87,0.22
vertex,425,-0.10,-0.78,0.12
